FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus,Notes
Aphanothece floccosa,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece minutissima,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece nebulosa,2,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece nidulans,3,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece saxicola,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece stagnina,3,NA,No,NI,NI,NI,low,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Apiocystis,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Apiocystis,
Apiocystis brauniana,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Apiocystis,
Ardissonea,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Mediophyceae,Toxariales,Ardissoneaceae,Ardissonea,
Ardissonea cuneata,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Mediophyceae,Toxariales,Ardissoneaceae,Ardissonea,
Arthrospira,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Arthrospira,
Arthrospira corkiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Arthrospira,
Astartiella,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella,
Astartiella bahusiensis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella,
Astartiella bremeyeri,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Astartiella,
Asterionella,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Asterionella,
Asterionella formosa,3,P,NA,NA,NA,NA,high,NA,NM,NAHON,DO_75,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Asterionella,
Asterococcus,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Asterococcus,
Asterococcus limneticus,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Asterococcus,
Audouinella,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella,
Audouinella hermannii,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella,
Aulacoseira,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,FB,NAHON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira alpigena,3,P,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira ambigua,3,P,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_50,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira canadensis,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira crassipunctata,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira crenulata,3,P,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira distans,NA,P,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira granulata,5,P,NA,NA,NA,NA,high,high,NM,NAHON,DO_50,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira granulata var angustissima,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira islandica,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira italica,3,P,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_75,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira italica var tenuissima,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira lirata,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira muzzanensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira nivalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira nivaloides,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira nygaardii,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira pusilla,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira subarctica,3,P,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira tenella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira tethera,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Aulacoseira valida,2,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Aulacoseiraceae,Aulacoseiraceae,Aulacoseira,
Bacillaria,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,
Bacillaria paradoxa,5,BN,NA,NA,NA,NA,high,high,HM,NAHON,DO_30,B,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,
Bacillariaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,NA,
Bacillariophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,NA,NA,NA,
Bacularia,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Bacularia,
Bacularia vermicularis,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Bacularia,
Balbiania investiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Balbianiales,Balbianiaceae,Balbiania,
Batrachospermales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Batrachospermales,NA,NA,
Batrachospermum,3,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum,
Batrachospermum arcuatum,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum,
Batrachospermum boryanum,NA,NA,No,NI,NI,NI,NI,low,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum,
Batrachospermum gelatinosum,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum,
Berkeleya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Berkeleyaceae,Berkeleya,
Berkeleya rutilans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Berkeleyaceae,Berkeleya,
Binuclearia,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Binuclearia,
Binuclearia tatrana,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Binuclearia,
Biremis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Scoliotropidaceae,Biremis,
Biremis circumtexta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Scoliotropidaceae,Biremis,
Blidingia minima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Blidingia,
Botryosphaerella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chlorophyceae incertae sedis,Chlorophyceae familia incertae sedis,Botryosphaerella,
Botryosphaerella sudetica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chlorophyceae incertae sedis,Chlorophyceae familia incertae sedis,Botryosphaerella,
Brachynema,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Hyellaceae,Brachynema,
Brachysira,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira aponina,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira brebissonii,2,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_75,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira exilis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira microcephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira neoexilis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira styriaca,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira vitrea,3,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_75,FB,OS,OM,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Brachysira zellensis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,
Bulbochaete,3,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete,
Bulbochaete brebissonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete,
Bulbochaete mirabilis,NA,NA,No,NI,NA,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete,
Bumilleria,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Xanthophyceae,Tribonematales,Tribonemataceae,Bumilleria,
Bumilleriopsis,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Xanthophyceae,Mischococcales,Centritactaceae,Bumilleriopsis,
Caloneis,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis alpestris,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis amphisbaena,4,BN,NA,NA,NA,NA,NA,high,MM,NAHON,DO_50,BF,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis bacillum,3,BN,NA,NA,NA,NA,high,NA,MM,NALON,DO_75,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis branderii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis clevei,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis hyalina,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis lauta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis lewisii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis macedonica,NA,BN,NA,NA,NA,NA,high,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis molaris,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis permagna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis schumanniana,2,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_75,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis schumanniana var biconstricta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis silicula,3,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_75,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis sublinearis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis tenuis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis thermalis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Caloneis undulata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,
Calothrix,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix atricha,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix breviarticulata,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix brevissima,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix clavata,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix confervicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix crustacea,NA,NA,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix epiphytica,3,NA,Yes,NI,NI,NI,low,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix fusca,3,NA,Yes,NI,NI,NI,low,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix kossinskajae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix linearis,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix marchica,2,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix parietina,2,NA,Yes,NI,NI,RF,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix pulvinata,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix scytonemicola,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix stagnalis,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Calothrix wembaerensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix,
Campylodiscus,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus,
Campylodiscus clypeus,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus,
Campylodiscus hibernicus,5,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,FB,NA,E,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus,
Capartogramma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma,
Capartogramma crucicula,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma,
Capsosira,NA,NA,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Capsosira,
Capsosira brebissonii,NA,NA,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Capsosira,
Carteria,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Carteriaceae,Carteria,
Carteria klebsii,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Carteriaceae,Carteria,
Cavinula,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula,
Cavinula cocconeiformis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula,
